HRmax;VO2peak
51.324;32.702
53.425;32.925
54.247;33.370
54.977;34.262
55.251;27.577
58.356;37.827
60.000;35.822
63.196;29.359
63.744;36.936
67.215;26.240
69.589;33.593
70.685;36.490
71.507;37.159
72.329;37.382
68.676;40.056
66.667;42.284
71.416;42.284
72.146;45.404
71.233;46.741
70.320;45.181
68.858;46.518
68.950;49.192
66.849;47.187
66.941;52.089
67.945;50.752
68.128;55.432
68.493;59.666
69.863;56.992
64.018;55.877
62.648;55.877
62.831;51.198
59.361;50.752
57.808;45.404
57.991;42.953
59.726;43.844
60.913;43.844
62.557;47.187
63.927;47.409
65.297;47.187
61.826;41.393
60.000;40.947
63.196;44.513
71.416;54.763
73.242;54.318
72.785;51.643
73.242;59.220
73.699;60.334
73.790;56.992
75.342;36.045
78.539;40.279
79.361;45.404
79.817;38.273
76.256;57.883
77.808;58.329
79.635;53.426
77.443;65.237
77.626;70.808
76.712;77.939
76.621;86.407
81.644;89.972
80.000;75.042
82.192;67.465
82.740;66.128
83.836;63.231
81.370;56.992
82.740;47.632
84.292;48.969
88.402;56.100
89.680;42.284
85.662;65.905
86.941;74.373
89.132;66.797
88.767;72.591
90.046;72.368
90.320;71.253
92.877;61.448
94.703;68.134
96.164;63.677
91.689;75.265
93.699;74.373
93.699;77.939
94.064;82.173
95.342;80.836
96.804;83.733
96.895;79.276
97.169;73.482
97.443;73.928
98.539;76.602
100.274;75.042
99.726;79.944
100.091;82.841
99.909;81.504
100.000;85.070
98.630;85.961
98.447;88.189
99.452;91.309
100.274;90.641
100.183;88.858
98.721;95.989
97.900;81.281
