Alter,Geschlecht,Sprint20m
6,m,4.71
6,m,4.89
6,m,5.5
6,m,5.69
6,m,5
6,m,5.04
6,m,5.23
6,m,5.41
6,m,4.59
6,m,4.96
6,m,4.26
6,m,4.57
6,m,4.7
6,m,4.76
6,m,4.91
6,m,5.07
6,m,5.08
6,m,5.6
6,m,5.1
6,m,4.53
6,m,5.11
6,m,4.46
6,m,4.5
6,m,4.72
6,m,5.3
6,m,5.4
6,m,5.5
6,m,4.08
6,m,4.37
6,m,4.7
6,m,4.62
6,m,4.72
6,m,4.82
6,m,4.38
6,m,4.51
6,m,4.53
6,m,4.62
6,m,4.66
6,m,4.69
6,m,4.78
6,m,4.89
6,m,4.94
6,m,4.98
6,m,5.04
6,m,5.37
6,m,5.59
6,m,5
6,m,5
6,m,4.62
6,m,4.72
6,m,4.81
6,m,4
6,m,3.79
6,m,3.84
6,m,3.85
6,m,3.89
6,m,3.94
6,m,4.06
6,m,4.13
6,m,4.16
6,m,4.21
6,m,4.26
6,m,4.31
6,m,4.32
6,m,4.36
6,m,4.4
6,m,5.31
6,m,5.37
6,m,5.44
6,m,4.35
6,m,4.51
6,m,4.6
6,m,4.94
6,m,5.03
6,m,5.09
6,m,5.09
6,m,5.28
6,m,5.4
6,m,5.44
6,m,5.72
6,m,6
6,m,5.47
6,m,4.78
6,m,5.04
6,m,5.1
6,m,5.4
6,m,5.49
6,m,4.1
6,m,5.6
6,m,5.32
6,m,5.66
6,m,4.97
6,m,3.91
6,m,3.95
6,m,4
6,m,3.75
6,m,4.01
6,m,5.59
6,w,5.18
6,w,4.37
6,w,5.61
6,w,5.73
6,w,4.87
6,w,5.16
6,w,5.2
6,w,4.75
6,w,4.51
6,w,4.78
6,w,4.91
6,w,5.56
6,w,5.2
6,w,6.3
6,w,4.6
6,w,4.7
6,w,4.9
6,w,4.9
6,w,5.15
6,w,4.19
6,w,4.44
6,w,4.49
6,w,4.86
6,w,4.9
6,w,5.7
6,w,4.34
6,w,4.53
6,w,4.67
6,w,5.49
6,w,4.5
6,w,4.53
6,w,4.82
6,w,4.84
6,w,4.86
6,w,5.06
6,w,5.12
6,w,5.28
6,w,4.4
6,w,4.47
6,w,4.63
6,w,4.77
6,w,4.88
6,w,4.91
6,w,4.93
6,w,4.98
6,w,5
6,w,5
6,w,5.1
6,w,5.16
6,w,5.35
6,w,5
6,w,5
6,w,4.6
6,w,4.66
6,w,4.85
6,w,4.99
6,w,4.99
6,w,4.98
6,w,5.16
6,w,3.64
6,w,3.84
6,w,3.95
6,w,3.98
6,w,4
6,w,4.06
6,w,4.08
6,w,4.21
6,w,4.21
6,w,4.22
6,w,4.36
6,w,4.51
6,w,4.58
6,w,5.03
6,w,5.94
6,w,4.43
6,w,4.71
6,w,5.12
6,w,5.13
6,w,5.18
6,w,5.25
6,w,5.31
6,w,5.42
6,w,5.75
6,w,4.94
6,w,5.57
6,w,3.58
6,w,4.35
6,w,5.31
6,w,6.11
6,w,4.46
6,w,4.53
6,w,4.93
6,w,5.1
6,w,4.28
6,w,4.85
6,w,5.08
6,w,5.16
6,w,5.31
6,w,5.43
7,m,4.19
7,m,4.79
7,m,3.9
7,m,4.12
7,m,4.28
7,m,4.72
7,m,3.94
7,m,4.17
7,m,4.25
7,m,4.39
7,m,4.67
7,m,4.68
7,m,4.72
7,m,4.78
7,m,4.86
7,m,4.89
7,m,4.5
7,m,4.5
7,m,4.5
7,m,5
7,m,4.14
7,m,4.3
7,m,4.78
7,m,4.97
7,m,4.98
7,m,4
7,m,4.15
7,m,4.3
7,m,4.57
7,m,5.1
7,m,4.35
7,m,4.37
7,m,4.59
7,m,4.84
7,m,4.91
7,m,4.47
7,m,4.71
7,m,3.97
7,m,4.02
7,m,4.06
7,m,4.1
7,m,4.1
7,m,4.41
7,m,4.47
7,m,4.47
7,m,4.47
7,m,4.56
7,m,4.63
7,m,4.66
7,m,4.74
7,m,4.78
7,m,4.81
7,m,4.82
7,m,4.95
7,m,4.97
7,m,5.03
7,m,5.08
7,m,5.34
7,m,3.58
7,m,3.63
7,m,3.64
7,m,3.7
7,m,3.75
7,m,3.95
7,m,4.05
7,m,4.16
7,m,4.17
7,m,4.21
7,m,4.32
7,m,4.49
7,m,4.04
7,m,4.06
7,m,4.16
7,m,4.18
7,m,4.22
7,m,4.37
7,m,4.38
7,m,4.38
7,m,4.53
7,m,4.56
7,m,4.59
7,m,4.68
7,m,4.75
7,m,4.78
7,m,4.91
7,m,5.18
7,m,5.78
7,m,4.4
7,m,4.72
7,m,4.75
7,m,4.81
7,m,5
7,m,5.36
7,m,5.43
7,m,5.75
7,m,6.21
7,m,5.1
7,m,4.91
7,m,4.31
7,m,4.32
7,m,5.3
7,m,5.24
7,m,4.65
7,m,4.69
7,m,4.57
7,m,4.57
7,m,5
7,m,4.83
7,m,4.06
7,m,5
7,m,5.75
7,w,5.06
7,w,4.44
7,w,4.9
7,w,4.85
7,w,4.94
7,w,3.97
7,w,4.06
7,w,4.72
7,w,5.13
7,w,4.26
7,w,4.94
7,w,4.1
7,w,4.08
7,w,4.51
7,w,4.59
7,w,4.74
7,w,4.78
7,w,4.5
7,w,4.7
7,w,5
7,w,5
7,w,4.4
7,w,4.54
7,w,4.61
7,w,4
7,w,4.15
7,w,4.24
7,w,4.38
7,w,4.59
7,w,4
7,w,4.31
7,w,4.67
